Dataset,Accuracy,Macro-F1,Samples
Test Original,0.9087460063897763,0.8896467691709413,5008
Adversario,0.22064696485623003,0.07230492393260265,5008
Ofuscado,0.8900373872883219,0.860846158005609,4547
